Date : 2024-10-18 20:22:10
Directory : d:\workspace\brainless-jellyfish\src
Total : 78 files,  2716 codes, 202 comments, 577 blanks, all 3495 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         78 |      2,716 |        202 |        577 |      3,495 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\workspace\brainless-jellyfish\src\interfaces\ComponentData.ts                            | TypeScript |         18 |          0 |          4 |         22 |
| d:\workspace\brainless-jellyfish\src\interfaces\ConnectingWords.ts                          | TypeScript |         16 |          2 |          5 |         23 |
| d:\workspace\brainless-jellyfish\src\interfaces\ErrorData.ts                                | TypeScript |         18 |          0 |          4 |         22 |
| d:\workspace\brainless-jellyfish\src\interfaces\EventData.ts                                | TypeScript |          5 |          0 |          2 |          7 |
| d:\workspace\brainless-jellyfish\src\interfaces\options.ts                                  | TypeScript |         11 |          0 |          2 |         13 |
| d:\workspace\brainless-jellyfish\src\manager\AutoRoleButtonManager.ts                       | TypeScript |         29 |          3 |          8 |         40 |
| d:\workspace\brainless-jellyfish\src\manager\ComponentManager.ts                            | TypeScript |         47 |          0 |         12 |         59 |
| d:\workspace\brainless-jellyfish\src\manager\GuildAutoRoleButtonManager.ts                  | TypeScript |        273 |          0 |         46 |        319 |
| d:\workspace\brainless-jellyfish\src\manager\commandManager.ts                              | TypeScript |         52 |          3 |         16 |         71 |
| d:\workspace\brainless-jellyfish\src\manager\command\CommandLoader.ts                       | TypeScript |        206 |          0 |         43 |        249 |
| d:\workspace\brainless-jellyfish\src\manager\connectorManager.ts                            | TypeScript |         58 |          0 |         13 |         71 |
| d:\workspace\brainless-jellyfish\src\manager\event\EventLoader.ts                           | TypeScript |          5 |          1 |          8 |         14 |
| d:\workspace\brainless-jellyfish\src\manager\event\EventManager.ts                          | TypeScript |          7 |          0 |          4 |         11 |
| d:\workspace\brainless-jellyfish\src\manager\games\ConnectingWordChannelManager.ts          | TypeScript |        120 |          0 |         15 |        135 |
| d:\workspace\brainless-jellyfish\src\manager\games\connectingWordGuildHandler.ts            | TypeScript |         11 |          0 |          5 |         16 |
| d:\workspace\brainless-jellyfish\src\manager\guild\GuildManager.ts                          | TypeScript |         26 |          0 |          7 |         33 |
| d:\workspace\brainless-jellyfish\src\manager\message\MessageTrafficManager.ts               | TypeScript |         30 |          0 |          6 |         36 |
| d:\workspace\brainless-jellyfish\src\manager\message\MessageTrafficTracker.ts               | TypeScript |         25 |          0 |          7 |         32 |
| d:\workspace\brainless-jellyfish\src\structures\ClientSlashCommandBuilder.ts                | TypeScript |        108 |          0 |         17 |        125 |
| d:\workspace\brainless-jellyfish\src\structures\ClientSlashCommandSubcommandBuilder.ts      | TypeScript |         24 |          0 |          7 |         31 |
| d:\workspace\brainless-jellyfish\src\structures\ClientSlashCommandSubcommandGroupBuilder.ts | TypeScript |         37 |          0 |          6 |         43 |
| d:\workspace\brainless-jellyfish\src\structures\interface\executeFunctions.ts               | TypeScript |         14 |          8 |          9 |         31 |
| d:\workspace\brainless-jellyfish\src\test.ts                                                | TypeScript |          6 |          0 |          2 |          8 |
| d:\workspace\brainless-jellyfish\src\utils\Logger.ts                                        | TypeScript |         80 |         33 |         16 |        129 |
| d:\workspace\brainless-jellyfish\src\utils\builder\EmbedComponentBuilder.ts                 | TypeScript |          0 |         16 |          4 |         20 |
| d:\workspace\brainless-jellyfish\src\utils\defaultFunctions.ts                              | TypeScript |         19 |          0 |          3 |         22 |
| d:\workspace\brainless-jellyfish\src\utils\enums\ConnectingWordMessageType.ts               | TypeScript |          7 |          0 |          2 |          9 |
| d:\workspace\brainless-jellyfish\src\utils\enums\LogMessageType.ts                          | TypeScript |          8 |          0 |          2 |         10 |
| d:\workspace\brainless-jellyfish\src\utils\enums\button.ts                                  | TypeScript |         10 |          0 |          2 |         12 |
| d:\workspace\brainless-jellyfish\src\utils\error\ClientError.ts                             | TypeScript |         55 |         98 |         23 |        176 |
| d:\workspace\brainless-jellyfish\src\utils\error\ClientErrorHandler.ts                      | TypeScript |         96 |          4 |         22 |        122 |
| d:\workspace\brainless-jellyfish\src\utils\functions.ts                                     | TypeScript |        170 |          2 |         26 |        198 |
| Total                                                                                       |            |      2,716 |        202 |        577 |      3,495 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
